,id,product_name,product_type,price,datetime,style_id,color_id,color,Fit,Composition,More sustainable materials,Size
0,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Light denim blue,Regular fit,"Shell: Cotton 98%, Spandex 2%",Recycled cotton 20%,
1,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Light denim blue,Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,
2,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Denim blue,Regular fit,"Shell: Cotton 98%, Spandex 2%",Recycled cotton 20%,
3,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Denim blue,Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,
4,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Dark blue,Regular fit,"Shell: Cotton 98%, Spandex 2%",Recycled cotton 20%,
5,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Dark blue,Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,
6,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Black,Regular fit,"Shell: Cotton 98%, Spandex 2%",Recycled cotton 20%,
7,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Black,Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,
8,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Light denim blue,Regular fit,"Shell: Cotton 98%, Spandex 2%",Recycled cotton 20%,
9,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Light denim blue,Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,
10,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Light denim blue,Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,"The model is 189cm/6'2"" and wears a size 32/32"
11,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Light denim blue,Regular fit,"Pocket lining: Polyester 63%, Cotton 37%",Recycled cotton 20%,"The model is 189cm/6'2"" and wears a size 32/32"
12,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Denim blue,Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,"The model is 189cm/6'2"" and wears a size 32/32"
13,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Denim blue,Regular fit,"Pocket lining: Polyester 63%, Cotton 37%",Recycled cotton 20%,"The model is 189cm/6'2"" and wears a size 32/32"
14,1008549001,Regular Jeans,men_jeans_regular,$ 19.99,2022-01-27 15:28:38,1008549,001,Dark blue,Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,"The model is 189cm/6'2"" and wears a size 32/32"
